task start end duration memory size
1.1011 1493275286482 1493275387212 100730 128 60
1.0659 1493275286554 1493275343975 57421 128 60
1.1308 1493275286460 1493275357632 71172 128 60
1.073 1493275284421 1493275378917 94496 128 60
1.902 1493275285567 1493275329342 43775 128 60
1.86 1493275747244 1493275775691 28447 128 70
1.8525 1493275746453 1493275780615 34162 128 70
1.4434 1493275770163 1493275819525 49362 128 70
1.1925 1493275769911 1493275850128 80217 128 70
1.6648 1493275770705 1493275797585 26880 128 70
1.9744 1493275746481 1493275779702 33221 128 70
1.2128 1493275746494 1493275859734 113240 128 70
2.2976 1493275746526 1493275770413 23887 128 70
1.8592 1493275747251 1493275781791 34540 128 70
1.9287 1493275746479 1493275787338 40859 128 70
2.2156 1493275986938 1493276081699 94761 128 70
0.7746 1493275746631 1493275817187 70556 128 70
1.971 1493275746409 1493275797558 51149 128 70
1.5085 1493275747292 1493275808331 61039 128 70
1.9203 1493275747771 1493275768573 20802 128 70
1.8784 1493275746491 1493275811571 65080 128 70
1.9684 1493275746546 1493275773987 27441 128 70
1.2494 1493275866698 1493275973897 107199 128 70
1.9706 1493275903610 1493275933210 29600 128 70
1.1839 1493275747104 1493275818305 71201 128 70
1.9966 1493275746878 1493275816059 69181 128 70
1.744 1493275775732 1493275842878 67146 128 70
1.8569 1493275746433 1493275770265 23832 128 70
2.2706 1493275894649 1493275931670 37021 128 70
1.6599 1493239625630 1493239685668 60038 128 70
1.3153 1493276010665 1493276077923 67258 128 70
1.8663 1493276144662 1493276270184 125522 128 70
0.7741 1493275746487 1493275862927 116440 128 70
1.4302 1493275780329 1493275821951 41622 128 70
1.9711 1493275777942 1493275837360 59418 128 70
1.6701 1493275781670 1493275817630 35960 128 70
1.2004 1493275771484 1493275849245 77761 128 70
1.8434 1493275746462 1493275797963 51501 128 70
1.8612 1493275749732 1493275833392 83660 128 70
1.926 1493275746463 1493275811379 64916 128 70
1.3905 1493275746511 1493275788472 41961 128 70
1.9702 1493275779415 1493275806175 26760 128 70
1.8612 1493275747292 1493275842399 95107 128 70
2.372 1493276107218 1493276271158 163940 128 70
2.1774 1493275746474 1493275778814 32340 128 70
1.968 1493275746511 1493275779031 32520 128 70
1.9775 1493275986737 1493276031660 44923 128 70
2.019 1493275746498 1493275798278 51780 128 70
1.3424 1493275773940 1493275803118 29178 128 70
1.8575 1493275746452 1493275772992 26540 128 70
1.8585 1493275746645 1493275792054 45409 128 70
1.9608 1493275747788 1493275772787 24999 128 70
1.8608 1493275782671 1493275822511 39840 128 70
1.393 1493275772325 1493275804027 31702 128 70
1.204 1493275746601 1493275862080 115479 128 70
1.8223 1493275746659 1493275777502 30843 128 70
1.9724 1493275746579 1493275786139 39560 128 70
1.9688 1493275774605 1493275835645 61040 128 70
1.8611 1493275746834 1493275792182 45348 128 70
1.9664 1493275747774 1493275773807 26033 128 70
1.992 1493275746545 1493275768865 22320 128 70
1.9727 1493275746482 1493276001042 254560 128 70
1.9663 1493275747769 1493275834048 86279 128 70
1.7627 1493275746534 1493275769853 23319 128 70
1.9463 1493275750274 1493275780512 30238 128 70
1.0204 1493275866618 1493275912618 46000 128 70
1.8633 1493275896978 1493275950499 53521 128 70
2.0431 1493275747352 1493275773535 26183 128 70
1.2401 1493275866594 1493275895779 29185 128 70
1.9675 1493275747776 1493275778827 31051 128 70
1.9461 1493275747773 1493275790890 43117 128 70
2.2024 1493275746471 1493275781271 34800 128 70
1.9686 1493275746485 1493275771825 25340 128 70
1.8585 1493275781232 1493275823772 42540 128 70
1.265 1493275746484 1493275823063 76579 128 70
1.8589 1493276348696 1493276465556 116860 128 80
1.8612 1493276228581 1493276257817 29236 128 80
1.8606 1493276229538 1493276265275 35737 128 80
1.8591 1493276228407 1493276250767 22360 128 80
1.8834 1493276228404 1493276255277 26873 128 80
1.8599 1493276228827 1493276438218 209391 128 80
1.1302 1493276230160 1493276301837 71677 128 80
2.2084 1493276228439 1493276249357 20918 128 80
1.5177 1493276228461 1493276329803 101342 128 80
1.8512 1493276233024 1493276458404 225380 128 80
1.9942 1493276228494 1493276258513 30019 128 80
2.3963 1493276228410 1493276262550 34140 128 80
1.97 1493276228466 1493276257325 28859 128 80
1.8607 1493276229760 1493276271922 42162 128 80
2.2129 1493276228478 1493276253298 24820 128 80
1.8587 1493276229562 1493276270200 40638 128 80
1.9955 1493276228630 1493276255494 26864 128 80
1.8607 1493276229536 1493276266255 36719 128 80
1.7391 1493276255941 1493276288397 32456 128 80
1.8811 1493276229868 1493276266027 36159 128 80
1.8391 1493276229561 1493276266020 36459 128 80
1.9257 1493276229560 1493276277643 48083 128 80
2.2346 1493276228408 1493276252945 24537 128 80
1.8598 1493276257825 1493276288145 30320 128 80
1.1228 1493276230263 1493276334877 104614 128 80
1.9723 1493276229118 1493276280898 51780 128 80
1.974 1493276229098 1493276300898 71800 128 80
1.1077 1493276230131 1493276319977 89846 128 80
1.859 1493276228987 1493276253386 24399 128 80
1.9729 1493276228960 1493276256022 27062 128 80
1.98 1493276373267 1493276469889 96622 128 80
1.9726 1493276228398 1493276255437 27039 128 80
1.8612 1493276229556 1493276265115 35559 128 80
1.8599 1493276231571 1493276313651 82080 128 80
1.0723 1493276230117 1493276297228 67111 128 80
1.8599 1493276229559 1493276265195 35636 128 80
1.9727 1493276228953 1493276298939 69986 128 80
1.9033 1493276229540 1493276265857 36317 128 80
1.8609 1493276230044 1493276266088 36044 128 80
1.34 1493276228401 1493276259041 30640 128 80
1.1152 1493276230142 1493276308337 78195 128 80
1.8366 1493276228990 1493276253348 24358 128 80
1.6016 1493276250978 1493276288059 37081 128 80
1.8639 1493276254108 1493276300103 45995 128 80
2.0193 1493276229581 1493276305140 75559 128 80
1.1537 1493276229933 1493276343767 113834 128 80
1.1698 1493276229929 1493276323008 93079 128 80
1.9725 1493276255701 1493276286537 30836 128 80
1.8399 1493276230006 1493276257302 27296 128 80
1.1706 1493276229926 1493276281128 51202 128 80
1.8787 1493276229600 1493276292962 63362 128 80
1.2971 1493276499379 1493276634316 134937 128 80
1.252 1493276259431 1493276285775 26344 128 80
1.8603 1493276373977 1493276619036 245059 128 80
1.8607 1493276229782 1493276294142 64360 128 80
2.2031 1493276228398 1493276253437 25039 128 80
2.3671 1493276617486 1493276705128 87642 128 80
2.3682 1493276491414 1493276600374 108960 128 80
1.8598 1493240162327 1493240269587 107260 128 80
1.2582 1493276267376 1493276336136 68760 128 80
1.9701 1493276255802 1493276278997 23195 128 80
1.8185 1493276259042 1493276294214 35172 128 80
1.2403 1493276257549 1493276287771 30222 128 80
1.2583 1493276386673 1493276441945 55272 128 80
2.2018 1493276258418 1493276289638 31220 128 80
1.2568 1493276267481 1493276293725 26244 128 80
1.8605 1493276228830 1493276261459 32629 128 80
1.2487 1493276627134 1493276665094 37960 128 80
1.2308 1493276388134 1493276460475 72341 128 80
1.222 1493276382930 1493276449698 66768 128 80
1.2536 1493276386715 1493276468434 81719 128 80
1.8594 1493276262799 1493276301058 38259 128 80
1.8189 1493276273942 1493276298562 24620 128 80
1.668 1493276278865 1493276321798 42933 128 80
2.3917 1493276268046 1493276293642 25596 128 80
1.3987 1493276267612 1493276319571 51959 128 80
1.5026 1493276279297 1493276359357 80060 128 80
1.859 1493276228573 1493276455171 226598 128 80
1.8661 1493276631796 1493276809336 177540 128 80
1.249 1493276348691 1493276455830 107139 128 80
1.8618 1493276981179 1493277262759 281580 128 90
2.2146 1493276743527 1493276840869 97342 128 90
1.7088 1493276742104 1493276771000 28896 128 90
2.3969 1493276740652 1493276765610 24958 128 90
1.9466 1493276741584 1493276783502 41918 128 90
1.2874 1493276860859 1493276923319 62460 128 90
1.4053 1493276771170 1493276822787 51617 128 90
1.9482 1493276740678 1493276821558 80880 128 90
1.8606 1493276741091 1493276782080 40989 128 90
1.8819 1493276740719 1493276834719 94000 128 90
1.8589 1493276741569 1493276784988 43419 128 90
1.8601 1493276740686 1493276772068 31382 128 90
1.8399 1493276740782 1493276763725 22943 128 90
1.9019 1493276740747 1493276763028 22281 128 90
1.9699 1493276740734 1493276777954 37220 128 90
1.8594 1493276740659 1493276774683 34024 128 90
1.9013 1493276741563 1493276854722 113159 128 90
1.7592 1493276740648 1493276770907 30259 128 90
1.0022 1493276745377 1493276810518 65141 128 90
1.8611 1493276740879 1493276771283 30404 128 90
1.9691 1493276769401 1493276840521 71120 128 90
1.8819 1493276742178 1493276799618 57440 128 90
1.8469 1493276741270 1493276785006 43736 128 90
2.2144 1493276740739 1493276830199 89460 128 90
1.9283 1493276740650 1493276766210 25560 128 90
1.9944 1493276740721 1493276768659 27938 128 90
1.2127 1493276860844 1493276925639 64795 128 90
1.8606 1493276741372 1493276766710 25338 128 90
1.8552 1493276767919 1493276808758 40839 128 90
1.0266 1493276806756 1493276872810 66054 128 90
1.1466 1493276740681 1493276800919 60238 128 90
1.8587 1493276744025 1493276775668 31643 128 90
1.8379 1493276741581 1493276766139 24558 128 90
1.8395 1493276740670 1493276761488 20818 128 90
1.9022 1493276740662 1493276791201 50539 128 90
2.215 1493276769079 1493276823700 54621 128 90
1.1467 1493276741620 1493276804679 63059 128 90
1.9672 1493276766457 1493276828457 62000 128 90
2.3724 1493276773037 1493276802877 29840 128 90
1.8405 1493276741357 1493276773555 32198 128 90
1.8594 1493276742137 1493276786838 44701 128 90
1.766 1493276741260 1493276774386 33126 128 90
1.8406 1493276740657 1493276769081 28424 128 90
1.8583 1493276741560 1493276770819 29259 128 90
2.2032 1493276740727 1493276772427 31700 128 90
1.8601 1493240665619 1493240716360 50741 128 90
2.3677 1493276764555 1493276810067 45512 128 90
1.9707 1493276740742 1493276772777 32035 128 90
1.8614 1493276742166 1493276814178 72012 128 90
1.2769 1493276860897 1493276959497 98600 128 90
1.9702 1493276741256 1493276784735 43479 128 90
1.8597 1493276741581 1493276775319 33738 128 90
1.9025 1493276741254 1493276923215 181961 128 90
1.8825 1493276741560 1493276779799 38239 128 90
