date,provider,memory,macAddr,deployment,external
"2017-10-17T12:42:29.043875276Z","bluemix","128","""0bf77e60cc56""",,5.559835
"2017-10-17T12:47:30.48696126Z","bluemix","128","""0bf77e60cc56""",,5.757778
"2017-10-17T12:52:28.111868596Z","bluemix","128","""0bf77e60cc56""",,5.582269
"2017-10-17T12:57:26.98384318Z","bluemix","128","""0bf77e60cc56""",,5.794378
"2017-10-17T13:02:26.652944926Z","bluemix","128","""0bf77e60cc56""",,5.527393
"2017-10-17T13:07:28.938696979Z","bluemix","128","""0bf77e60cc56""",,5.763712
"2017-10-17T13:12:26.120945906Z","bluemix","128","""0bf77e60cc56""",,5.557396
"2017-10-17T13:17:30.84910686Z","bluemix","128","""0bf77e60cc56""",,5.724903
"2017-10-17T13:22:03.591720226Z","bluemix","128","""0bf77e60cc56""",,5.538459
"2017-10-17T13:27:11.842664771Z","bluemix","128","""0bf77e60cc56""",,5.690072
"2017-10-17T13:32:10.540204075Z","bluemix","128","""0bf77e60cc56""",,5.536366
"2017-10-17T13:37:34.533472704Z","bluemix","128","""0bf77e60cc56""",,5.699037
"2017-10-17T13:42:27.645025749Z","bluemix","128","""0bf77e60cc56""",,5.550552
"2017-10-17T13:47:28.125144776Z","bluemix","128","""0bf77e60cc56""",,5.698276
"2017-10-17T13:52:31.608020721Z","bluemix","128","""0bf77e60cc56""",,5.651376
"2017-10-17T13:57:26.970415473Z","bluemix","128","""0bf77e60cc56""",,5.526836
"2017-10-17T14:02:29.362108294Z","bluemix","128","""0bf77e60cc56""",,5.691462
"2017-10-17T14:07:30.236984374Z","bluemix","128","""0bf77e60cc56""",,5.691597
"2017-10-17T14:12:30.502241994Z","bluemix","128","""0bf77e60cc56""",,5.693079
"2017-10-17T14:17:29.869899642Z","bluemix","128","""0bf77e60cc56""",,5.660603
"2017-10-17T14:22:24.100633291Z","bluemix","128","""0bf77e60cc56""",,5.644245
"2017-10-17T14:27:32.589844869Z","bluemix","128","""0bf77e60cc56""",,5.736657
"2017-10-17T14:37:45.068524861Z","bluemix","128","""0bf77e60cc56""",,5.687561
"2017-10-17T14:42:26.456448787Z","bluemix","128","""0bf77e60cc56""",,5.66868
"2017-10-17T14:47:28.681421136Z","bluemix","128","""0bf77e60cc56""",,5.786384
"2017-10-17T14:52:30.345164004Z","bluemix","128","""0bf77e60cc56""",,5.650295
"2017-10-17T14:57:31.147045955Z","bluemix","128","""0bf77e60cc56""",,5.695743
"2017-10-17T15:02:29.52823045Z","bluemix","128","""0bf77e60cc56""",,5.570053
"2017-10-17T15:07:30.513427636Z","bluemix","128","""0bf77e60cc56""",,5.763352
"2017-10-17T15:12:32.622827886Z","bluemix","128","""0bf77e60cc56""",,5.713938
