task start end duration memory size
13.7935 1494286919931 1494286948693 28762 128 60
14.666 1494286843118 1494286869808 26690 128 60
13.7955 1494286930478 1494286959066 28588 128 60
14.2876 1494287274369 1494287302505 28136 128 70
13.0829 1494287225910 1494287257301 31391 128 70
12.3317 1494287203240 1494287234235 30995 128 70
13.6339 1494287256936 1494287286168 29232 128 70
13.8771 1494287243951 1494287273516 29565 128 70
13.8984 1494287276715 1494287304004 27289 128 70
15.292 1494287307083 1494287333033 25950 128 70
14.6643 1494287297870 1494287326202 28332 128 70
14.2037 1494287284904 1494287312991 28087 128 70
15.1777 1494287304666 1494287331222 26556 128 70
13.4441 1494287247109 1494287277293 30184 128 70
13.1106 1494287235247 1494287264737 29490 128 70
13.4315 1494287236118 1494287267058 30940 128 70
14.7428 1494287296771 1494287323255 26484 128 70
13.7448 1494287255752 1494287284851 29099 128 70
15.7633 1494287315198 1494287340336 25138 128 70
14.3223 1494287287797 1494287315321 27524 128 70
13.8527 1494287267379 1494287295688 28309 128 70
13.6669 1494287286758 1494287313704 26946 128 70
13.4536 1494287245982 1494287275907 29925 128 70
15.3799 1494287277902 1494287304995 27093 128 70
13.8924 1494287254369 1494287283016 28647 128 70
13.1161 1494287223991 1494287254847 30856 128 70
13.6325 1494287130951 1494287159398 28447 128 70
13.8471 1494287120732 1494287147327 26595 128 70
14.1647 1494287099868 1494287127204 27336 128 70
14.0112 1494287110308 1494287137920 27612 128 70
13.8108 1494287079251 1494287107133 27882 128 70
14.0294 1494287090541 1494287118346 27805 128 70
13.7972 1494287100529 1494287128489 27960 128 70
12.8786 1494287078434 1494287107323 28889 128 70
13.8686 1494287088814 1494287118111 29297 128 70
14.0774 1494287098653 1494287126429 27776 128 70
12.3805 1494287205021 1494287236028 31007 128 70
13.7856 1494287089976 1494287118115 28139 128 70
13.731 1494287078220 1494287106155 27935 128 70
14.1922 1494287109151 1494287136917 27766 128 70
13.2306 1494287140319 1494287169210 28891 128 70
14.2418 1494287119254 1494287147164 27910 128 70
12.9195 1494287142171 1494287171503 29332 128 70
12.9041 1494287122044 1494287150892 28848 128 70
14.9409 1494287308237 1494287334805 26568 128 70
13.9789 1494287264211 1494287293018 28807 128 70
13.2226 1494287234023 1494287263793 29770 128 70
12.6374 1494287213543 1494287244591 31048 128 70
14.8505 1494287294853 1494287322004 27151 128 70
12.6176 1494287183314 1494287213145 29831 128 70
12.4562 1494287194052 1494287225009 30957 128 70
13.5881 1494287162844 1494287191536 28692 128 70
12.9653 1494287111078 1494287140354 29276 128 70
14.0421 1494287266020 1494287294002 27982 128 70
14.0701 1494287132268 1494287160437 28169 128 70
14.1628 1494287143310 1494287170704 27394 128 70
14.0067 1494287150292 1494287178244 27952 128 70
12.8191 1494287195065 1494287225950 30885 128 70
13.7786 1494287225168 1494287254951 29783 128 70
13.3869 1494287129554 1494287157939 28385 128 70
12.7692 1494287173110 1494287202133 29023 128 70
12.8746 1494287172000 1494287201351 29351 128 70
13.3545 1494287164082 1494287193145 29063 128 70
12.758 1494287174105 1494287203088 28983 128 70
14.315 1494287152615 1494287180328 27713 128 70
13.5537 1494287161249 1494287189929 28680 128 70
12.7757 1494287192861 1494287223208 30347 128 70
13.8517 1494287153950 1494287182110 28160 128 70
13.1666 1494287182218 1494287211305 29087 128 70
12.6532 1494287215880 1494287247114 31234 128 70
12.969 1494287184298 1494287213947 29649 128 70
12.3783 1494287204592 1494287234909 30317 128 70
12.7052 1494287214545 1494287244734 30189 128 70
14.3615 1494287564209 1494287592163 27954 128 80
14.2187 1494287429103 1494287456211 27108 128 80
14.0968 1494287439677 1494287466302 26625 128 80
15.1665 1494287605820 1494287633594 27774 128 80
14.5276 1494287346429 1494287372847 26418 128 80
14.8024 1494287345426 1494287371010 25584 128 80
14.4895 1494287578046 1494287605734 27688 128 80
14.0974 1494287345733 1494287371941 26208 128 80
13.7354 1494287356328 1494287384639 28311 128 80
14.4672 1494287411164 1494287438325 27161 128 80
13.723 1494287368486 1494287398295 29809 128 80
14.0511 1494287555075 1494287583694 28619 128 80
13.681 1494287453406 1494287480998 27592 128 80
13.7526 1494287432024 1494287459802 27778 128 80
13.6786 1494287380335 1494287409408 29073 128 80
14.5739 1494287482902 1494287510060 27158 128 80
13.4008 1494287357525 1494287385827 28302 128 80
14.6356 1494287595918 1494287624249 28331 128 80
14.2713 1494287390273 1494287418440 28167 128 80
13.3663 1494287378062 1494287408004 29942 128 80
13.372 1494287379163 1494287408293 29130 128 80
13.673 1494287463902 1494287492503 28601 128 80
15.1405 1494287420228 1494287447127 26899 128 80
15.5172 1494287616229 1494287641410 25181 128 80
13.3385 1494287358558 1494287386824 28266 128 80
13.602 1494287366744 1494287395712 28968 128 80
15.2636 1494287607385 1494287634307 26922 128 80
14.4371 1494287391466 1494287419329 27863 128 80
14.6271 1494287409618 1494287436555 26937 128 80
14.6442 1494287388962 1494287416804 27842 128 80
14.5321 1494287397995 1494287426537 28542 128 80
14.3306 1494287481646 1494287508912 27266 128 80
13.9586 1494287532772 1494287560962 28190 128 80
14.9856 1494287430318 1494287457033 26715 128 80
14.316 1494287440772 1494287467193 26421 128 80
14.2355 1494287460160 1494287487623 27463 128 80
13.7776 1494287442191 1494287470114 27923 128 80
13.7644 1494287495245 1494287523097 27852 128 80
13.3386 1494287505607 1494287533417 27810 128 80
14.0645 1494287526218 1494287554997 28779 128 80
13.3766 1494287565429 1494287593647 28218 128 80
13.888 1494287470946 1494287498835 27889 128 80
15.1936 1494287599043 1494287626715 27672 128 80
14.3371 1494287594836 1494287623303 28467 128 80
13.9484 1494287450881 1494287479127 28246 128 80
14.3384 1494287472231 1494287499934 27703 128 80
13.4303 1494287585049 1494287613716 28667 128 80
