date,provider,memory,lifetime
"2017-09-21T06:14:43.360170071Z","google","512",4.629685831
"2017-09-22T09:15:26.908564942Z","google","1024",48911.897411322
"2017-10-23T07:52:34.206508112Z","bluemix","128",2402.002770932
"2018-03-07T16:30:39.145546261Z","google","2048",27003.491432712
"2017-11-24T22:17:38.148531326Z","bluemix","128",907.133207094
"2017-11-12T13:10:14.314890599Z","bluemix","512",6.409536
"2018-01-14T02:43:06.332790646Z","google","128",5.60245019
"2018-01-23T09:59:28.227142878Z","google","512",6.46215933
"2018-02-24T07:07:13.613685668Z","bluemix","128",5.5185568929999995
"2017-12-13T22:18:29.053193692Z","google","128",16523.928045089
"2018-01-29T04:15:14.851267003Z","bluemix","512",6.625433054
"2018-02-24T09:15:34.901844044Z","bluemix","256",5.407598781
"2017-09-27T03:19:50.544100548Z","google","512",4.697373246
"2018-02-26T19:40:35.949892294Z","bluemix","256",306.645319591
"2018-01-09T07:50:40.082113655Z","aws","1536",22211.285304331
"2018-03-10T13:20:10.52699912Z","aws","1536",27106.717642525
"2017-12-22T06:49:39.341851805Z","aws","512",7106.456851098
"2018-01-20T05:05:36.872831543Z","aws","1536",10794.173688028
"2017-11-26T22:19:42.313335588Z","aws","512",3001.322559237
"2017-12-08T14:30:02.394247509Z","aws","512",21886.04744631
"2017-12-19T19:23:21.027789065Z","aws","128",6627.809365296
"2017-10-26T23:27:20.366154807Z","aws","256",14117.081401358
"2017-12-04T10:14:57.466430646Z","aws","512",21316.214883879
"2017-09-28T20:47:27.107086313Z","aws","256",8746.401037342
"2017-12-17T11:48:22.910511193Z","aws","128",8825.307595612
"2017-11-02T23:35:27.343430924Z","aws","1536",3288.639114558
"2017-12-21T13:18:22.429883757Z","aws","128",13241.965932837
"2017-12-03T21:25:37.113644287Z","aws","1536",9297.634255094
"2017-10-07T09:51:03.491096172Z","aws","1024",1508.534550966
"2017-10-17T08:25:17.755728506Z","aws","1536",14387.80973867
"2018-02-23T11:57:10.395644161Z","aws","256",23845.610909148
"2017-09-28T12:12:27.400698503Z","aws","256",16225.151570284
"2018-03-10T05:40:53.207619848Z","aws","1024",23339.313858452
"2017-09-21T18:22:17.134492832Z","aws","256",24918.681844085
"2017-10-31T04:05:00.90745542Z","aws","512",12319.258855373
"2017-10-01T20:36:05.486033637Z","aws","1024",22508.476711945
"2018-01-12T16:10:40.826266913Z","aws","1536",22812.502349792
"2017-11-17T07:28:23.364641753Z","aws","128",27341.368107371
"2017-12-21T21:11:04.392708463Z","aws","1024",28343.389289102
"2018-02-26T05:23:57.440021961Z","aws","128",7670.283047001
"2018-02-04T17:17:29.973638493Z","aws","256",17822.220190447
"2017-10-28T07:27:24.255616156Z","aws","256",24921.80729719
"2018-01-22T14:41:20.615424575Z","aws","1536",18939.307014642
"2018-02-18T14:25:19.557711242Z","aws","1536",26148.703375988
"2017-12-16T22:10:01.579478006Z","aws","512",10179.839135963
"2017-10-28T11:27:03.075825356Z","aws","256",14098.535755951
"2017-10-31T20:14:55.67255094Z","aws","512",7543.181042222
"2017-11-19T12:22:30.636660636Z","aws","256",20421.553064813
"2017-12-23T17:23:23.43681617Z","aws","128",25754.329802971
"2017-12-20T15:24:47.842090528Z","aws","512",3146.928086182
"2017-10-04T04:12:22.299752591Z","aws","256",17422.728050734
"2017-12-06T19:20:55.521983773Z","aws","1024",20998.536892875
"2017-11-05T22:22:29.075523993Z","aws","256",20421.62398931
"2017-11-07T18:17:25.617234411Z","aws","256",25219.394193513
"2018-03-03T12:38:05.490200123Z","aws","128",7926.374141857
"2018-02-11T12:14:50.822578652Z","aws","512",2975.883367582
"2018-01-09T14:22:28.328544243Z","aws","256",383.938483361
"2018-01-30T12:43:22.265370353Z","aws","128",1696.975359137
"2018-02-08T00:17:36.510462348Z","aws","256",11021.316446254
"2017-09-24T04:07:23.906896803Z","aws","256",26126.507962732
"2018-01-13T15:04:51.295850196Z","aws","512",28001.423700926
"2017-12-12T15:23:32.120700309Z","aws","128",18209.8390477
"2017-12-19T11:28:29.574121991Z","aws","128",26394.649922128
"2018-01-21T07:10:33.515589773Z","aws","1536",16014.359922085
"2017-12-05T22:11:00.957991839Z","aws","1024",20103.084518245
"2017-11-10T02:23:27.100811937Z","aws","128",21646.974293138
"2017-10-06T08:25:42.16339282Z","aws","1536",9011.460280164
"2018-01-16T14:40:57.184703479Z","aws","1024",26619.632722964
"2017-12-06T13:27:28.706735986Z","aws","256",3619.579919292
"2017-11-24T00:30:38.959016146Z","aws","1536",18299.117824819
"2017-12-02T23:22:26.590419611Z","aws","256",3922.50843599
"2017-12-22T20:35:30.072632565Z","aws","1536",21930.757359308
"2017-09-23T12:30:24.370564241Z","aws","1536",21311.508398415
"2018-03-08T18:28:08.327048156Z","aws","128",15320.729207763
"2017-12-15T09:27:32.17866749Z","aws","256",25835.306119435
"2018-02-23T05:17:12.675878032Z","aws","256",6927.169492864
"2017-11-14T18:15:40.34794959Z","aws","1536",23105.672536998
"2017-12-06T21:45:15.053926158Z","google","512",119716.734847955
"2018-01-22T18:30:26.062940829Z","google","1024",1808.519970446
"2018-03-05T06:01:15.658248337Z","bluemix","256",35.691617024
"2018-01-23T03:11:28.924831734Z","google","256",921.897743308
"2018-02-11T23:22:23.495862196Z","bluemix","128",294586.610502548
"2017-12-05T11:12:39.527679596Z","bluemix","128",6.831832054
"2017-11-21T19:45:12.533487644Z","bluemix","512",5.148078743
"2018-02-20T21:20:34.715574698Z","bluemix","256",5.329299076
"2017-11-11T03:15:11.834359139Z","bluemix","512",303.543236231
"2017-12-01T12:07:34.708041345Z","bluemix","128",6.2431844
"2018-02-05T07:05:13.9408139Z","bluemix","512",6.406140995
"2018-02-25T10:35:52.480418274Z","bluemix","256",23.588648803
"2017-10-30T19:19:01.740225194Z","google","128",3352.391268499
"2017-10-08T17:55:11.319452622Z","bluemix","512",2103.951662616
"2017-11-16T23:34:06.813814707Z","google","128",8165.897646567
"2017-11-23T17:27:39.272752457Z","bluemix","128",5.47323047
"2018-03-07T07:10:43.942905803Z","google","2048",6.719585493
"2018-02-24T03:25:33.274155804Z","bluemix","256",5.205482753
"2018-02-01T09:57:33.857902574Z","bluemix","128",3298.663747837
"2017-10-09T05:13:44.114263413Z","google","128",18038.997190716
"2017-09-21T14:09:52.348809027Z","google","512",4.871083431
"2017-11-16T02:38:49.570073593Z","google","128",335.688507117
"2018-01-23T08:10:18.840194698Z","google","1024",4.9988144
"2018-03-02T04:00:11.622628782Z","bluemix","512",19203.367532523
"2017-11-23T07:52:34.25944478Z","bluemix","128",5.609008699
"2018-02-26T00:55:20.830542036Z","bluemix","512",11.497682901
"2017-11-02T13:34:03.734849525Z","google","128",7247.623063531
"2018-03-02T00:05:07.685890017Z","google","512",12938.352851475
"2018-01-28T23:35:15.74796801Z","bluemix","512",6.42490683
"2017-12-18T04:30:12.765884323Z","bluemix","512",5.249985436
"2017-10-07T02:50:13.073071204Z","bluemix","512",5.331086282
"2017-10-19T20:21:34.748909434Z","google","256",335.212024657
"2018-01-23T16:10:50.15840857Z","google","2048",5.730645185
"2017-09-20T19:38:05.318480277Z","google","128",4.388766617
"2017-10-28T21:35:12.852484174Z","bluemix","512",5.2778643
"2018-03-05T00:00:19.21592029Z","bluemix","512",10.161141249
"2018-02-28T21:02:46.561657687Z","bluemix","128",24.876738712
"2018-02-08T09:10:14.715555416Z","bluemix","512",7.176376431
"2018-02-09T00:30:13.666473784Z","bluemix","512",5.273864704
"2018-01-23T16:45:48.408040935Z","google","2048",5.6721753029999995
"2017-12-18T00:55:11.899212828Z","bluemix","512",5.246709544
"2017-11-17T00:25:55.681823888Z","google","2048",147309.921691283
"2018-01-08T08:30:49.706635033Z","google","2048",1031104.891599096
"2018-02-07T20:25:13.808891397Z","bluemix","512",5.358185389
"2017-12-13T14:05:51.002019339Z","google","2048",20101.281164203
"2017-11-11T20:02:37.190848188Z","bluemix","128",7.592604004
"2018-01-29T04:57:40.816141711Z","bluemix","128",306.424166509
"2017-10-16T17:40:10.96036419Z","bluemix","512",2703.40148128
"2018-02-28T21:37:34.306213393Z","bluemix","128",21.109942657
"2018-03-05T10:02:57.704511816Z","bluemix","128",16.392515533
"2017-11-12T01:35:12.561741711Z","bluemix","512",5.158585149
"2018-02-19T00:01:33.344252132Z","bluemix","256",24.311567952
"2017-09-22T01:03:07.790009166Z","google","128",4.660607045
"2018-03-09T14:10:21.496818996Z","google","1024",6.334930975
"2018-03-05T18:05:24.623911782Z","bluemix","512",15.358673014
"2017-11-22T06:25:14.500919576Z","bluemix","512",5.471366214
"2017-09-22T07:48:03.438704727Z","google","128",4.372316162
"2017-09-20T21:03:06.868184194Z","google","128",5.223424094
"2018-02-26T02:25:51.376750798Z","bluemix","256",13.346264228
"2017-11-22T14:50:47.932290533Z","bluemix","256",5.535800457
"2017-11-23T14:10:14.442253448Z","bluemix","512",6.486180629
"2018-01-29T01:10:15.468319137Z","bluemix","512",6.137726903
"2017-11-11T14:05:12.441621086Z","bluemix","512",5.289499813
"2017-11-03T13:22:40.024933042Z","bluemix","128",900.34903348
"2018-01-26T13:02:38.638042617Z","bluemix","128",5.477756551
"2018-01-11T17:07:32.476909732Z","bluemix","128",5.725602564
"2018-02-25T23:45:22.922914795Z","bluemix","512",13.073821237
